post_id,planned_date,platform,format,pillar,published_at,url,impressions,relevant_operator_replies,verified_referrals,qualified_calls_booked,qualified_calls_completed,data_commitments,paid_commitments,hard_kill_signals,notes
TL-SOC-001,2026-08-17,linkedin,text,operator-participation,2026-08-14T16:29:03.602Z,https://www.linkedin.com/feed/update/urn:li:activity:7494067577850232832/,,,,,,,,,Public page content verified 2026-08-14
TL-SOC-002,2026-08-17,x,text,operator-participation,2026-08-14T16:32:03.360Z,https://x.com/TOgieva53379/status/2088302642267050152,,,,,,,,,Canonical status URL supplied by founder; public text unavailable unauthenticated
TL-SOC-003,2026-08-18,x,question,incident-education,,,,,,,,,,,
TL-SOC-004,2026-08-18,community,text,operator-participation,,,,,,,,,,,
TL-SOC-005,2026-08-19,linkedin,text,truth-and-safety,,,,,,,,,,,
TL-SOC-006,2026-08-20,x,poll,operator-participation,,,,,,,,,,,
TL-SOC-007,2026-08-21,linkedin,text,founder-learning,,,,,,,,,,,
TL-SOC-008,2026-08-21,x,text,founder-learning,,,,,,,,,,,
TL-SOC-009,2026-08-22,x,text,incident-education,,,,,,,,,,,
TL-SOC-010,2026-08-23,x,question,operator-participation,,,,,,,,,,,
TL-SOC-011,2026-08-24,linkedin,text,incident-education,,,,,,,,,,,
TL-SOC-012,2026-08-25,x,question,incident-education,,,,,,,,,,,
TL-SOC-013,2026-08-26,linkedin,text,incident-education,,,,,,,,,,,
TL-SOC-014,2026-08-26,x,text,incident-education,,,,,,,,,,,
TL-SOC-015,2026-08-27,community,question,operator-participation,,,,,,,,,,,
TL-SOC-016,2026-08-28,linkedin,text,truth-and-safety,,,,,,,,,,,
TL-SOC-017,2026-08-29,x,text,truth-and-safety,,,,,,,,,,,
TL-SOC-018,2026-08-30,x,text,operator-participation,,,,,,,,,,,
TL-SOC-019,2026-08-31,linkedin,text,truth-and-safety,,,,,,,,,,,
TL-SOC-020,2026-09-01,x,question,truth-and-safety,,,,,,,,,,,
TL-SOC-021,2026-09-02,linkedin,text,incident-education,,,,,,,,,,,
TL-SOC-022,2026-09-02,x,text,incident-education,,,,,,,,,,,
TL-SOC-023,2026-09-03,x,poll,operator-participation,,,,,,,,,,,
TL-SOC-024,2026-09-04,linkedin,text,engineering-proof,,,,,,,,,,,
TL-SOC-025,2026-09-05,x,text,truth-and-safety,,,,,,,,,,,
TL-SOC-026,2026-09-06,community,text,truth-and-safety,,,,,,,,,,,
TL-SOC-027,2026-09-07,linkedin,text,operator-participation,,,,,,,,,,,
TL-SOC-028,2026-09-07,x,text,operator-participation,,,,,,,,,,,
TL-SOC-029,2026-09-08,x,question,incident-education,,,,,,,,,,,
TL-SOC-030,2026-09-09,linkedin,text,operator-participation,,,,,,,,,,,
TL-SOC-031,2026-09-10,x,text,founder-learning,,,,,,,,,,,
TL-SOC-032,2026-09-11,linkedin,text,engineering-proof,,,,,,,,,,,
TL-SOC-033,2026-09-11,x,text,engineering-proof,,,,,,,,,,,
TL-SOC-034,2026-09-12,x,text,operator-participation,,,,,,,,,,,
TL-SOC-035,2026-09-13,community,text,operator-participation,,,,,,,,,,,
TL-SOC-036,2026-09-14,linkedin,text,founder-learning,,,,,,,,,,,
TL-SOC-037,2026-09-14,x,text,founder-learning,,,,,,,,,,,
TL-SOC-038,2026-09-15,linkedin,text,founder-learning,,,,,,,,,,,
TL-SOC-039,2026-09-15,x,text,founder-learning,,,,,,,,,,,
TL-SOC-040,2026-08-15,linkedin,text,kill-test-recruitment,2026-08-15,,,,,,,,,,"batch-05 Part A / D3, founder's own profile. Posted by founder 2026-08-15; exact time not captured. URL PENDING — a row without it cannot be verified and must not be read as exposure. Purpose is interview recruitment, not reach: the column that matters is qualified_calls_completed, which feeds date_interviewed in kill-test-tracker.csv."
